feature,importance
tfidf_250,0.0021472876231843656
tfidf_261,0.0021397936062543155
tfidf_442,0.00211650753312918
tfidf_400,0.0020460415748453347
tfidf_247,0.0020385527745395153
tfidf_43,0.001969009475744667
tfidf_428,0.0019493309844288648
tfidf_93,0.0019343538638492736
tfidf_393,0.0018958955807996999
tfidf_412,0.0018778810597840782
tfidf_55,0.0017981665672835215
tfidf_175,0.0017901407402476789
tfidf_332,0.001731497868052394
tfidf_290,0.0017198787093743483
tfidf_275,0.0016821114658795294
tfidf_234,0.0016741930684463608
tfidf_397,0.0016525860986275375
tfidf_278,0.0016038948971475997
tfidf_364,0.0015818214846908083
tfidf_483,0.001568659304964304
tfidf_497,0.0015535829426475871
tfidf_394,0.0015533902277742751
tfidf_165,0.0015359572930565212
tfidf_277,0.0015205815821230531
tfidf_251,0.0015094570459860547
tfidf_195,0.0015082441334537736
tfidf_298,0.001486799819541184
tfidf_486,0.0014862387378912155
tfidf_230,0.001444535640454715
tfidf_299,0.0014431868309599505
tfidf_194,0.0014367056906555945
tfidf_76,0.0014336804047887118
tfidf_135,0.0014306035506089264
tfidf_488,0.0014299532320275418
tfidf_244,0.0014207979168650033
tfidf_378,0.0014186242167661442
tfidf_357,0.0014098390323173985
tfidf_484,0.0014042588027279167
tfidf_96,0.001378782522882816
tfidf_265,0.0013573043909455025
tfidf_376,0.0013504409150804759
tfidf_395,0.0013376012734135168
tfidf_109,0.0013048045457757518
tfidf_374,0.0012953883248872265
tfidf_358,0.0012873311902413976
tfidf_260,0.001284573087357316
tfidf_302,0.0012786462800623251
tfidf_39,0.001272941390355979
tfidf_360,0.00124657139060648
tfidf_294,0.001245366258417562
tfidf_4,0.0012437105956266674
tfidf_78,0.001239872842035746
tfidf_177,0.0012381412410520697
tfidf_466,0.0012198849923746227
tfidf_229,0.0011709442977938455
tfidf_440,0.0011453595183577346
tfidf_137,0.001136335250298134
tfidf_280,0.0011158812087980624
tfidf_3,0.0011093856435834208
tfidf_129,0.0010900047575600562
tfidf_215,0.0010738158494563313
tfidf_427,0.0010726995298296757
tfidf_7,0.0010676090092943717
tfidf_220,0.001051414699104644
tfidf_457,0.001041179018237052
tfidf_91,0.0010389947811510673
tfidf_151,0.0010354589117180148
tfidf_411,0.0010256077558602836
tfidf_199,0.0010122618068146862
tfidf_325,0.0010053505839504706
tfidf_15,0.0009817816496862104
tfidf_34,0.0009734782938656756
tfidf_6,0.0009634871507388312
tfidf_352,0.000956322492292248
tfidf_380,0.000948652709672616
tfidf_491,0.0009421301460471904
tfidf_398,0.0009415634390713029
tfidf_475,0.0009356964607917828
tfidf_73,0.0009334902977107095
tfidf_410,0.000912302605508584
tfidf_1,0.0009118078819492152
tfidf_476,0.0009047408315077808
tfidf_252,0.0009043644855559306
tfidf_469,0.0009040887703216407
tfidf_233,0.0008997055521531871
tfidf_359,0.0008941484432400344
tfidf_434,0.0008867168214122708
tfidf_105,0.0008860208108691631
tfidf_124,0.0008794091266137374
tfidf_241,0.0008719015322329624
